Weekly Relative SST data starts week centered on 9Sept1981

                Nino1+2      Nino3      Nino34     Nino4
 Week             SSTA       SSTA       SSTA       SSTA
 09MAR1988        -1.1        0.4        0.3       -0.3
 16MAR1988        -0.9       -0.1        0.1       -0.2
 23MAR1988        -1.0       -0.8       -0.3       -0.2
 30MAR1988        -1.2       -0.8       -0.3       -0.1
 06APR1988        -1.2       -0.2       -0.1       -0.4
 13APR1988        -1.0       -0.5       -0.3       -0.9
 20APR1988        -1.4       -0.9       -0.8       -1.0
 27APR1988        -1.7       -1.5       -1.0       -0.6
 04MAY1988        -1.2       -1.5       -1.4       -0.8
 11MAY1988        -0.7       -1.4       -1.1       -0.4
 18MAY1988        -0.8       -1.7       -1.5       -0.8
 25MAY1988        -1.1       -2.2       -1.6       -0.7
 01JUN1988        -1.0       -2.0       -1.6       -0.6
 08JUN1988        -1.2       -2.0       -1.5       -0.8
 15JUN1988        -1.3       -1.8       -1.4       -0.9
 22JUN1988        -1.7       -2.2       -1.7       -0.8
 29JUN1988        -1.6       -2.1       -1.7       -0.9
 06JUL1988        -1.4       -2.0       -1.5       -0.8
 13JUL1988        -1.2       -2.0       -1.5       -0.9
 20JUL1988        -1.6       -1.9       -1.5       -0.8
 27JUL1988        -1.1       -1.8       -1.5       -0.7
 03AUG1988        -1.2       -1.8       -1.4       -0.5
 10AUG1988        -1.5       -1.6       -1.2       -0.7
 17AUG1988        -1.5       -1.5       -1.2       -1.0
 24AUG1988        -1.2       -1.3       -1.2       -0.8
 31AUG1988        -1.0       -0.7       -1.0       -0.7
 07SEP1988        -0.9       -0.7       -0.9       -0.7
 14SEP1988        -1.1       -0.6       -0.4       -0.3
 21SEP1988        -1.5       -0.5       -0.3       -0.4
 28SEP1988        -1.8       -1.2       -1.1       -0.8
 05OCT1988        -1.3       -1.3       -1.8       -1.8
 12OCT1988        -1.4       -1.2       -1.7       -1.7
 19OCT1988        -1.6       -1.4       -1.9       -1.7
 26OCT1988        -0.7       -1.6       -2.0       -1.6
 02NOV1988        -0.6       -1.6       -2.3       -1.7
 09NOV1988        -0.7       -1.4       -1.9       -1.7
 16NOV1988        -0.6       -1.1       -1.6       -1.6
 23NOV1988        -0.9       -1.8       -2.1       -1.8
 30NOV1988        -0.9       -2.1       -2.2       -1.4
 07DEC1988        -0.5       -1.8       -2.1       -1.6
 14DEC1988        -0.7       -1.7       -1.7       -1.4
 21DEC1988        -0.7       -1.2       -1.5       -1.7
 28DEC1988        -0.7       -1.1       -1.3       -1.6
 04JAN1989         0.0       -1.2       -1.8       -1.8
 11JAN1989         0.2       -1.2       -2.0       -1.9
 18JAN1989        -0.4       -1.2       -1.8       -1.6
 25JAN1989        -0.2       -0.9       -1.6       -1.6
 01FEB1989         0.5       -0.6       -1.3       -1.6
 08FEB1989         0.4       -0.8       -1.3       -1.3
 15FEB1989         0.2       -0.6       -1.4       -1.4
 22FEB1989         0.1       -0.3       -1.0       -1.1
 01MAR1989         0.0       -0.8       -1.0       -0.7
 08MAR1989         0.1       -0.7       -1.1       -1.1
 15MAR1989        -0.1       -1.0       -1.1       -1.2
 22MAR1989         0.9       -1.0       -1.3       -0.9
 29MAR1989         1.3       -0.9       -1.3       -0.8
 05APR1989         0.8       -0.3       -0.8       -1.0
 12APR1989         0.5       -0.5       -0.9       -0.9
 19APR1989         0.1       -0.8       -1.1       -0.6
 26APR1989        -0.5       -0.7       -1.0       -0.4
 03MAY1989        -0.9       -0.8       -0.9       -0.3
 10MAY1989        -0.9       -0.7       -0.5       -0.1
 17MAY1989        -0.7       -0.3       -0.2        0.1
 24MAY1989        -0.7       -0.3       -0.4       -0.3
 31MAY1989        -0.6       -0.4       -0.6       -0.6
 07JUN1989        -0.8       -0.1       -0.5       -0.9
 14JUN1989        -1.1        0.4        0.1       -0.6
 21JUN1989        -0.6        0.6        0.1       -0.8
 28JUN1989        -0.2        0.0       -0.3       -0.5
 05JUL1989        -0.3       -0.2       -0.4       -0.5
 12JUL1989        -0.4       -0.2       -0.4       -0.7
 19JUL1989        -0.3        0.0       -0.1       -0.6
 26JUL1989        -0.4       -0.1        0.1       -0.3
 02AUG1989        -0.5       -0.3       -0.2       -0.4
 09AUG1989        -0.3       -0.3       -0.3       -0.5
 16AUG1989         0.0       -0.3       -0.5       -0.7
 23AUG1989         0.2       -0.5       -0.5       -0.7
 30AUG1989        -0.1       -0.1       -0.3       -0.4
 06SEP1989        -0.3       -0.1       -0.2       -0.4
 13SEP1989        -0.5        0.1       -0.1       -0.3
 20SEP1989        -0.5       -0.1       -0.2       -0.1
 27SEP1989        -0.8       -0.2       -0.2       -0.1
 04OCT1989        -0.3       -0.2       -0.3        0.0
 11OCT1989        -0.4       -0.3       -0.3       -0.3
 18OCT1989        -0.5       -0.2       -0.2       -0.4
 25OCT1989         0.0       -0.3       -0.2       -0.3
 01NOV1989        -0.3       -0.3       -0.2       -0.2
 08NOV1989         0.0       -0.5       -0.6       -0.6
 15NOV1989         0.4       -0.3       -0.5       -0.9
 22NOV1989        -0.2       -0.4       -0.1       -0.5
 29NOV1989        -0.4       -0.4        0.0       -0.1
 06DEC1989        -0.3       -0.1        0.1        0.0
 13DEC1989        -0.2       -0.2        0.0        0.0
 20DEC1989        -0.1       -0.3        0.1        0.3
 27DEC1989        -0.1       -0.2        0.2        0.5
 03JAN1990        -0.2       -0.1        0.4        0.6
 10JAN1990        -0.4       -0.1        0.4        0.4
 17JAN1990        -0.4       -0.1        0.2        0.5
 24JAN1990        -0.5        0.0        0.2        0.3
 31JAN1990        -0.3        0.1        0.3        0.4
 07FEB1990        -0.1        0.0        0.2        0.1
 14FEB1990        -0.1       -0.1        0.0        0.2
 21FEB1990        -0.5        0.1        0.1        0.5
 28FEB1990        -0.5       -0.1        0.3        0.9
 07MAR1990        -0.1       -0.5        0.0        0.5
 14MAR1990        -0.3       -0.6       -0.2        0.2
 21MAR1990        -0.5       -0.2        0.1        0.6
 28MAR1990        -0.5       -0.2        0.1        0.5
 04APR1990        -0.7        0.1        0.4        0.4
 11APR1990        -1.1        0.0        0.3        0.5
 18APR1990        -0.9       -0.1        0.0        0.3
 25APR1990        -0.4        0.1        0.2        0.5
 02MAY1990        -0.5        0.0        0.3        0.4
 09MAY1990        -0.5        0.3        0.3        0.2
 16MAY1990        -0.4        0.2        0.3        0.1
 23MAY1990        -0.2        0.3        0.4        0.2
 30MAY1990        -0.1        0.3        0.3        0.0
 06JUN1990        -0.4        0.2        0.2        0.1
 13JUN1990         0.0        0.2        0.1        0.1
 20JUN1990         0.2        0.1        0.0        0.2
 27JUN1990        -0.1        0.1        0.0        0.3
 04JUL1990        -0.2        0.2        0.1        0.1
 11JUL1990        -0.4        0.3        0.3        0.2
 18JUL1990        -0.9        0.3        0.4        0.2
 25JUL1990        -1.1       -0.1        0.3        0.3
 01AUG1990        -0.4       -0.1        0.3        0.3
 08AUG1990        -0.4        0.0        0.4        0.5
 15AUG1990        -0.2        0.2        0.3        0.4
 22AUG1990        -0.2        0.2        0.3        0.4
 29AUG1990        -0.1        0.3        0.2        0.2
 05SEP1990        -0.5        0.2        0.2        0.3
 12SEP1990        -0.3        0.2        0.2        0.4
 19SEP1990        -0.2        0.2        0.2        0.5
 26SEP1990        -0.4        0.4        0.3        0.4
 03OCT1990        -0.3        0.5        0.4        0.3
 10OCT1990        -0.5        0.1        0.5        0.6
 17OCT1990        -0.7       -0.1        0.5        0.6
 24OCT1990        -0.9       -0.3        0.3        0.6
 31OCT1990        -0.9       -0.2        0.3        0.7
 07NOV1990        -0.7        0.0        0.3        0.5
 14NOV1990        -0.7       -0.2        0.1        0.3
 21NOV1990        -0.6       -0.2        0.1        0.4
 28NOV1990        -0.4       -0.2        0.1        0.6
 05DEC1990        -0.3        0.1        0.3        0.9
 12DEC1990        -0.8        0.0        0.3        0.8
 19DEC1990        -1.0       -0.1        0.5        0.6
 26DEC1990        -0.3        0.4        0.6        0.6
 02JAN1991        -0.2        0.4        0.7        0.6
 09JAN1991        -0.9        0.2        0.7        0.7
 16JAN1991        -0.7        0.2        0.7        0.9
 23JAN1991        -0.9        0.1        0.6        0.9
 30JAN1991        -1.2        0.1        0.5        0.7
 06FEB1991        -0.6        0.1        0.5        0.8
 13FEB1991        -0.3        0.0        0.4        0.8
 20FEB1991         0.2        0.0        0.3        0.4
 27FEB1991         0.0        0.0        0.1        0.4
 06MAR1991        -0.1       -0.3        0.0        0.5
 13MAR1991         0.1       -0.2        0.0        0.6
 20MAR1991         0.0        0.2        0.3        0.3
